cs,species,extant,community,class
4,spelaeophryne_methneri,1,Assemblage,Amphibians
4,pyxicephalus_edulis,1,Assemblage,Amphibians
4,hyperolius_marginatus,1,Assemblage,Amphibians
4,amietia_nutti,1,Assemblage,Amphibians
4,sclerophrys_gutturalis,1,Assemblage,Amphibians
4,ptychadena_oxyrhynchus,1,Assemblage,Amphibians
4,arthroleptis_stenodactylus,1,Assemblage,Amphibians
4,arthroleptis_xenodactyloides,1,Assemblage,Amphibians
4,kassina_senegalensis,1,Assemblage,Amphibians
4,schismaderma_carens,1,Assemblage,Amphibians
4,ptychadena_taenioscelis,1,Assemblage,Amphibians
4,ptychadena_anchietae,1,Assemblage,Amphibians
4,phrynomantis_bifasciatus,1,Assemblage,Amphibians
4,hyperolius_tuberilinguis,1,Assemblage,Amphibians
4,phrynobatrachus_natalensis,1,Assemblage,Amphibians
4,hyperolius_substriatus,1,Assemblage,Amphibians
4,hylarana_galamensis,1,Assemblage,Amphibians
4,mertensophryne_taitana,1,Assemblage,Amphibians
4,hemisus_marmoratus,1,Assemblage,Amphibians
4,arthroleptis_affinis,1,Assemblage,Amphibians
4,ptychadena_uzungwensis,1,Assemblage,Amphibians
4,chiromantis_xerampelina,1,Assemblage,Amphibians
4,afrixalus_quadrivittatus,1,Assemblage,Amphibians
4,ptychadena_schillukorum,1,Assemblage,Amphibians
4,hildebrandtia_ornata,1,Assemblage,Amphibians
5,boana_cymbalum,0,Assemblage,Amphibians
5,ischnocnema_lactea,1,Assemblage,Amphibians
5,dendropsophus_nanus,1,Assemblage,Amphibians
5,scinax_nasicus,1,Assemblage,Amphibians
5,scinax_hayii,1,Assemblage,Amphibians
5,crossodactylus_gaudichaudii,1,Assemblage,Amphibians
5,ololygon_brieni,1,Assemblage,Amphibians
5,chiasmocleis_leucosticta,1,Assemblage,Amphibians
5,dendrophryniscus_imitator,1,Assemblage,Amphibians
5,chiasmocleis_lacrimae,1,Assemblage,Amphibians
5,ololygon_catharinae,1,Assemblage,Amphibians
5,siphonops_annulatus,1,Assemblage,Amphibians
5,dendropsophus_minutus,1,Assemblage,Amphibians
5,ololygon_hiemalis,1,Assemblage,Amphibians
5,siphonops_paulensis,1,Assemblage,Amphibians
5,leptodactylus_furnarius,1,Assemblage,Amphibians
5,boana_faber,1,Assemblage,Amphibians
5,brachycephalus_hermogenesi,1,Assemblage,Amphibians
5,boana_bischoffi,1,Assemblage,Amphibians
5,cycloramphus_semipalmatus,1,Assemblage,Amphibians
5,bokermannohyla_hylax,1,Assemblage,Amphibians
5,thoropa_miliaris,1,Assemblage,Amphibians
5,cycloramphus_acangatan,1,Assemblage,Amphibians
5,vitreorana_uranoscopa,1,Assemblage,Amphibians
5,cycloramphus_dubius,1,Assemblage,Amphibians
5,chthonerpeton_viviparum,1,Assemblage,Amphibians
5,brachycephalus_ephippium,1,Assemblage,Amphibians
5,gastrotheca_microdiscus,1,Assemblage,Amphibians
5,physalaemus_moreirae,1,Assemblage,Amphibians
5,leptodactylus_luctator,1,Assemblage,Amphibians
5,odontophrynus_americanus,1,Assemblage,Amphibians
5,boana_prasina,1,Assemblage,Amphibians
5,phyllomedusa_burmeisteri,1,Assemblage,Amphibians
5,scinax_crospedospilus,1,Assemblage,Amphibians
