"longitude","latitude","cropland_2arcmin_mean","built_mean","wc2.1_2.5m_elev_mean","tree_loss_mean","trees_mean","wildareas-v3-2009-human-footprint_mean","maximum_temperature_mean_mean","built_mean","cropland_mean","forestlandcover_mean","layer_mean","extinct_species_group","binomial_name","presence","habitat_breadth","diet_breadth","body_mass_g","body_size_mm","trophic_level","global_range_size_km2","extinct"
-110.059563873,27.9786470350001,0.0533742755651474,0.00532973371446133,217.263885498047,0.00187616189941764,0.0656240582466125,7.91484975814819,32.8935928344727,0.00347222224809229,0.0590277761220932,0,NA,"Craugastor_omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
-109.059563873,27.9786470350001,0.00667197396978736,0.000795224390458316,900.740966796875,0.00264137354679406,0.589772820472717,3.97193908691406,30.2148323059082,6.21430808678269e-05,0.00105643237475306,0,NA,"Craugastor_omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
-100.059563873,27.9786470350001,0.00333817233331501,0.0051797041669488,220.293106079102,0.00578697258606553,0.016337912529707,5.99903297424316,29.9238014221191,0,0,0,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-99.0595638729999,27.9786470350001,0.00847315508872271,0.0126747665926814,154.168746948242,0.0142366997897625,0.196626558899879,5.70506000518799,29.0930252075195,0.0119352769106627,0,0,NA,"Craugastor_omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
-99.0595638729999,27.9786470350001,0.00847315508872271,0.0126747665926814,154.168746948242,0.0142366997897625,0.196626558899879,5.70506000518799,29.0930252075195,0.0119352769106627,0,0,NA,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-98.0595638729999,27.9786470350001,0.242443442344666,0.0119044911116362,74.8279647827148,0.00855286233127117,0.315424054861069,7.24830150604248,28.5805435180664,0.000217500768485479,0.245525702834129,0,NA,"Craugastor_omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
-97.0595638729999,27.9786470350001,0.115678414702415,0.0197249632328749,12.205864906311,0.00676621729508042,0.109832420945168,4.84422445297241,-3904.36303710938,0.0255755931138992,0.0880212411284447,0,1,"Craugastor_omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
-110.059563873,26.9786470350001,0.275769382715225,0.00845928583294153,27.7229690551758,0.000455722300102934,0.00950843654572964,5.44541168212891,-5039.044921875,7.05336860846728e-05,0.269932478666306,0,NA,"Craugastor_omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
-110.059563873,26.9786470350001,0.275769382715225,0.00845928583294153,27.7229690551758,0.000455722300102934,0.00950843654572964,5.44541168212891,-5039.044921875,7.05336860846728e-05,0.269932478666306,0,NA,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-109.059563873,26.9786470350001,0.0572400279343128,0.00531454849988222,329.564819335938,0.00810103118419647,0.297336727380753,6.3808422088623,-430.714447021484,0.00167166627943516,0.0683063864707947,0,1,"Craugastor_omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
-109.059563873,26.9786470350001,0.0572400279343128,0.00531454849988222,329.564819335938,0.00810103118419647,0.297336727380753,6.3808422088623,-430.714447021484,0.00167166627943516,0.0683063864707947,0,1,"Craugastor_omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
-109.059563873,26.9786470350001,0.0572400279343128,0.00531454849988222,329.564819335938,0.00810103118419647,0.297336727380753,6.3808422088623,-430.714447021484,0.00167166627943516,0.0683063864707947,0,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-109.059563873,26.9786470350001,0.0572400279343128,0.00531454849988222,329.564819335938,0.00810103118419647,0.297336727380753,6.3808422088623,-430.714447021484,0.00167166627943516,0.0683063864707947,0,1,"Craugastor_omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
-108.059563873,26.9786470350001,0.0156800784170628,0.0017158763948828,1180.84741210938,0.00669764308258891,0.6225825548172,4.57772254943848,21.7061023712158,3.04403602058301e-05,0.0262127928435802,0.01677330955863,1,"Craugastor_omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
-108.059563873,26.9786470350001,0.0156800784170628,0.0017158763948828,1180.84741210938,0.00669764308258891,0.6225825548172,4.57772254943848,21.7061023712158,3.04403602058301e-05,0.0262127928435802,0.01677330955863,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-108.059563873,26.9786470350001,0.0156800784170628,0.0017158763948828,1180.84741210938,0.00669764308258891,0.6225825548172,4.57772254943848,21.7061023712158,3.04403602058301e-05,0.0262127928435802,0.01677330955863,1,"Craugastor_omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
-101.059563873,26.9786470350001,0.00704735470935702,0.00847417116165161,642.313720703125,0.00234941765666008,0.014544784091413,6.49026107788086,29.6048812866211,0.00835201982408762,0,1.26235590869328e-06,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-100.059563873,26.9786470350001,0.0136832231655717,0.00481216749176383,270.147033691406,0.0101946098729968,0.028833732008934,6.68524694442749,30.21630859375,0.000152201799210161,0,0.00167040387168527,1,"Craugastor_omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
-100.059563873,26.9786470350001,0.0136832231655717,0.00481216749176383,270.147033691406,0.0101946098729968,0.028833732008934,6.68524694442749,30.21630859375,0.000152201799210161,0,0.00167040387168527,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-99.0595638729999,26.9786470350001,0.0125483246520162,0.00576920667663217,149.73030090332,0.00752384541556239,0.112362585961819,5.51654481887817,29.7588214874268,0.000242449663346633,0.00334080774337053,3.04403602058301e-05,NA,"Craugastor_omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
-99.0595638729999,26.9786470350001,0.0125483246520162,0.00576920667663217,149.73030090332,0.00752384541556239,0.112362585961819,5.51654481887817,29.7588214874268,0.000242449663346633,0.00334080774337053,3.04403602058301e-05,NA,"Craugastor_omoaensis","Leptodactylus_fragilis",1,"generalist","",NA,43,"",NA,0
-99.0595638729999,26.9786470350001,0.0125483246520162,0.00576920667663217,149.73030090332,0.00752384541556239,0.112362585961819,5.51654481887817,29.7588214874268,0.000242449663346633,0.00334080774337053,3.04403602058301e-05,NA,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-99.0595638729999,26.9786470350001,0.0125483246520162,0.00576920667663217,149.73030090332,0.00752384541556239,0.112362585961819,5.51654481887817,29.7588214874268,0.000242449663346633,0.00334080774337053,3.04403602058301e-05,NA,"Craugastor_omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
-98.0595638729999,26.9786470350001,0.0805459842085838,0.00435301661491394,44.2501831054688,0.00603282218798995,0.172993779182434,4.23725700378418,-5.80102491378784,4.41824568042648e-06,0.0635125562548637,0,NA,"Craugastor_omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
-98.0595638729999,26.9786470350001,0.0805459842085838,0.00435301661491394,44.2501831054688,0.00603282218798995,0.172993779182434,4.23725700378418,-5.80102491378784,4.41824568042648e-06,0.0635125562548637,0,NA,"Craugastor_omoaensis","Leptodactylus_fragilis",1,"generalist","",NA,43,"",NA,0
-98.0595638729999,26.9786470350001,0.0805459842085838,0.00435301661491394,44.2501831054688,0.00603282218798995,0.172993779182434,4.23725700378418,-5.80102491378784,4.41824568042648e-06,0.0635125562548637,0,NA,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-98.0595638729999,26.9786470350001,0.0805459842085838,0.00435301661491394,44.2501831054688,0.00603282218798995,0.172993779182434,4.23725700378418,-5.80102491378784,4.41824568042648e-06,0.0635125562548637,0,NA,"Craugastor_omoaensis","Rhinophrynus_dorsalis",1,"specialist","specialist",90,89,"carnivore",NA,0
-98.0595638729999,26.9786470350001,0.0805459842085838,0.00435301661491394,44.2501831054688,0.00603282218798995,0.172993779182434,4.23725700378418,-5.80102491378784,4.41824568042648e-06,0.0635125562548637,0,NA,"Craugastor_omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
-97.0595638729999,26.9786470350001,0.00486337067559361,0.000882812542840838,5.08902215957642,0.00113479129504412,0.0235094390809536,0.405660092830658,-7957.26708984375,0.000519534980412573,0.00285344989970326,0,1,"Craugastor_omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
-97.0595638729999,26.9786470350001,0.00486337067559361,0.000882812542840838,5.08902215957642,0.00113479129504412,0.0235094390809536,0.405660092830658,-7957.26708984375,0.000519534980412573,0.00285344989970326,0,1,"Craugastor_omoaensis","Rhinophrynus_dorsalis",1,"specialist","specialist",90,89,"carnivore",NA,0
-109.059563873,25.9786470350001,0.291743367910385,0.0123026296496391,51.0066337585449,0.00772825349122286,0.0659636929631233,9.06766319274902,-2131.17529296875,0.00838665477931499,0.360552728176117,0,1,"Craugastor_omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
-109.059563873,25.9786470350001,0.291743367910385,0.0123026296496391,51.0066337585449,0.00772825349122286,0.0659636929631233,9.06766319274902,-2131.17529296875,0.00838665477931499,0.360552728176117,0,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-109.059563873,25.9786470350001,0.291743367910385,0.0123026296496391,51.0066337585449,0.00772825349122286,0.0659636929631233,9.06766319274902,-2131.17529296875,0.00838665477931499,0.360552728176117,0,1,"Craugastor_omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
-108.059563873,25.9786470350001,0.190556198358536,0.00681576924398541,514.765380859375,0.00969781819730997,0.594483733177185,7.237389087677,-3.33602809906006,0.00516404490917921,0.26098957657814,0.122285842895508,1,"Craugastor_omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
-108.059563873,25.9786470350001,0.190556198358536,0.00681576924398541,514.765380859375,0.00969781819730997,0.594483733177185,7.237389087677,-3.33602809906006,0.00516404490917921,0.26098957657814,0.122285842895508,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-108.059563873,25.9786470350001,0.190556198358536,0.00681576924398541,514.765380859375,0.00969781819730997,0.594483733177185,7.237389087677,-3.33602809906006,0.00516404490917921,0.26098957657814,0.122285842895508,1,"Craugastor_omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
-107.059563873,25.9786470350001,0.00777252484112978,0.000993452267721295,1834.18054199219,0.00629716087132692,0.837506592273712,3.66244196891785,26.6045017242432,9.13210824364796e-05,0.00463640270754695,0.0556813813745975,1,"Craugastor_omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
-107.059563873,25.9786470350001,0.00777252484112978,0.000993452267721295,1834.18054199219,0.00629716087132692,0.837506592273712,3.66244196891785,26.6045017242432,9.13210824364796e-05,0.00463640270754695,0.0556813813745975,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-107.059563873,25.9786470350001,0.00777252484112978,0.000993452267721295,1834.18054199219,0.00629716087132692,0.837506592273712,3.66244196891785,26.6045017242432,9.13210824364796e-05,0.00463640270754695,0.0556813813745975,1,"Craugastor_omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
-101.059563873,25.9786470350001,0.00825267843902111,0.0106078423559666,1131.93029785156,0.00100575701799244,0.0215562768280506,6.36773109436035,28.0343055725098,0.00518439011648297,3.04403602058301e-05,0,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-101.059563873,25.9786470350001,0.00825267843902111,0.0106078423559666,1131.93029785156,0.00100575701799244,0.0215562768280506,6.36773109436035,28.0343055725098,0.00518439011648297,3.04403602058301e-05,0,1,"Craugastor_omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
-100.059563873,25.9786470350001,0.0297030881047249,0.0637206509709358,549.558410644531,0.0346442125737667,0.179298132658005,11.1971673965454,29.5762271881104,0.0435249768197536,0.0267264619469643,0.0351131185889244,1,"Craugastor_omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
-100.059563873,25.9786470350001,0.0297030881047249,0.0637206509709358,549.558410644531,0.0346442125737667,0.179298132658005,11.1971673965454,29.5762271881104,0.0435249768197536,0.0267264619469643,0.0351131185889244,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-100.059563873,25.9786470350001,0.0297030881047249,0.0637206509709358,549.558410644531,0.0346442125737667,0.179298132658005,11.1971673965454,29.5762271881104,0.0435249768197536,0.0267264619469643,0.0351131185889244,1,"Craugastor_omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
-99.0595638729999,25.9786470350001,0.0617434084415436,0.0082452604547143,137.269348144531,0.0195386931300163,0.13237676024437,6.4944953918457,30.5987682342529,0.00413225730881095,0.0406460091471672,0.000639878737274557,1,"Craugastor_omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
-99.0595638729999,25.9786470350001,0.0617434084415436,0.0082452604547143,137.269348144531,0.0195386931300163,0.13237676024437,6.4944953918457,30.5987682342529,0.00413225730881095,0.0406460091471672,0.000639878737274557,1,"Craugastor_omoaensis","Leptodactylus_fragilis",1,"generalist","",NA,43,"",NA,0
-99.0595638729999,25.9786470350001,0.0617434084415436,0.0082452604547143,137.269348144531,0.0195386931300163,0.13237676024437,6.4944953918457,30.5987682342529,0.00413225730881095,0.0406460091471672,0.000639878737274557,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-99.0595638729999,25.9786470350001,0.0617434084415436,0.0082452604547143,137.269348144531,0.0195386931300163,0.13237676024437,6.4944953918457,30.5987682342529,0.00413225730881095,0.0406460091471672,0.000639878737274557,1,"Craugastor_omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
-98.0595638729999,25.9786470350001,0.558714985847473,0.0478450283408165,42.6865119934082,0.00954265333712101,0.103390373289585,14.0521049499512,29.3187980651855,0.03012815117836,0.539814114570618,0,1,"Craugastor_omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
-98.0595638729999,25.9786470350001,0.558714985847473,0.0478450283408165,42.6865119934082,0.00954265333712101,0.103390373289585,14.0521049499512,29.3187980651855,0.03012815117836,0.539814114570618,0,1,"Craugastor_omoaensis","Leptodactylus_fragilis",1,"generalist","",NA,43,"",NA,0
-98.0595638729999,25.9786470350001,0.558714985847473,0.0478450283408165,42.6865119934082,0.00954265333712101,0.103390373289585,14.0521049499512,29.3187980651855,0.03012815117836,0.539814114570618,0,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
-98.0595638729999,25.9786470350001,0.558714985847473,0.0478450283408165,42.6865119934082,0.00954265333712101,0.103390373289585,14.0521049499512,29.3187980651855,0.03012815117836,0.539814114570618,0,1,"Craugastor_omoaensis","Rhinophrynus_dorsalis",1,"specialist","specialist",90,89,"carnivore",NA,0
-98.0595638729999,25.9786470350001,0.558714985847473,0.0478450283408165,42.6865119934082,0.00954265333712101,0.103390373289585,14.0521049499512,29.3187980651855,0.03012815117836,0.539814114570618,0,1,"Craugastor_omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
-97.0595638729999,25.9786470350001,0.0633661672472954,0.0174866765737534,6.16601228713989,0.00135492498520762,0.0356175005435944,3.54538297653198,-6453.47705078125,0.0172519646584988,0.028198329731822,0,1,"Craugastor_omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
-97.0595638729999,25.9786470350001,0.0633661672472954,0.0174866765737534,6.16601228713989,0.00135492498520762,0.0356175005435944,3.54538297653198,-6453.47705078125,0.0172519646584988,0.028198329731822,0,1,"Craugastor_omoaensis","Leptodactylus_fragilis",1,"generalist","",NA,43,"",NA,0
-97.0595638729999,25.9786470350001,0.0633661672472954,0.0174866765737534,6.16601228713989,0.00135492498520762,0.0356175005435944,3.54538297653198,-6453.47705078125,0.0172519646584988,0.028198329731822,0,1,"Craugastor_omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
