"","case_study","extinct_species_group","extant","species_name","species","extant.1","class","genus","IUCN","IUCN_year","AB_Leaves","AB_Flowers","AB_Seeds","AB_Fruits","AB_Arthro","AB_Vert","amphi_diet_breadth","amphi_diet_comments","AB_Body_mass_g","mammalBodyMass.Value","reptt_Diet","reptt_DietComments","reptile_diet_breadth","reptt_MaximumBodyMass_g","mammal_diet_breadth","X","X.1","global_range_size_km2","global_range_size_log","range_centroid_lon","range_centroid_lat","human.footprint.1993.Venter_30arcseconds","WDPA_30arcseconds","overlap_area_km2","overlap_pct_extinct_range","overlap_pct_extant_range"
"16","CS_006","Craugastor_omoaensis",FALSE,"Leptodactylus melanonotus","Leptodactylus melanonotus",1,"Amphibians","Leptodactylus","LC",2020,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",833155.684204853,5.9207261616392,-90.4131591342313,15.9304332608067,7.52397319885058,5.55068466875639,32.2793152435807,100,0.00387434375778009
"17","CS_006","Craugastor_omoaensis",FALSE,"Leptodactylus melanonotus","Leptodactylus melanonotus",1,"Amphibians","Leptodactylus","LC",2020,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",833155.684204853,5.9207261616392,-90.4131591342313,15.9304332608067,7.52397319885058,5.55068466875639,32.2793152435807,100,0.00387434375778009
"18","CS_006","Craugastor_omoaensis",FALSE,"Leptodactylus melanonotus","Leptodactylus melanonotus",1,"Amphibians","Leptodactylus","LC",2020,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",833155.684204853,5.9207261616392,-90.4131591342313,15.9304332608067,7.52397319885058,5.55068466875639,32.2793152435807,100,0.00387434375778009
"19","CS_006","Craugastor_omoaensis",FALSE,"Smilisca baudinii","Smilisca baudinii",1,"Amphibians","Smilisca","LC",2021,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",961946.612836971,5.98315096975747,-94.643651602,18.8290293731421,7.56223538117633,3.37507785537512,32.2793152435807,100,0.0033556243987785
"20","CS_006","Craugastor_omoaensis",FALSE,"Rhinophrynus dorsalis","Rhinophrynus dorsalis",1,"Amphibians","Rhinophrynus","LC",2020,NA,NA,NA,NA,1,NA,"","",90,NA,NA,NA,NA,NA,NA,NA,"",342090.365539981,5.53414084310718,-91.1582344118521,17.8289856782234,7.54770510605784,5.71107616123145,32.2793152435807,100,0.00943590305229106
"21","CS_006","Craugastor_omoaensis",FALSE,"Bolitoglossa dunni","Bolitoglossa dunni",1,"Amphibians","Bolitoglossa","EN",2020,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",277.022074992685,2.44251437796525,-88.3411288646124,15.427152175879,10.7987499237061,0,32.2793152435807,100,11.6522537940101
"22","CS_006","Craugastor_omoaensis",FALSE,"Scinax staufferi","Scinax staufferi",1,"Amphibians","Scinax","LC",2020,NA,NA,NA,NA,NA,NA,"","",29,NA,NA,NA,NA,NA,NA,NA,"",569553.527824557,5.75553454623146,-90.5875003874825,16.062228252,8.04588337719342,4.79947415673085,32.2793152435807,100,0.00566747700903082
"23","CS_006","Craugastor_omoaensis",FALSE,"Craugastor charadra","Craugastor charadra",1,"Amphibians","Craugastor","VU",2020,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",3108.62949133099,3.49256896280895,-88.7017510588099,15.2901031893996,9.08972236845228,0,32.2793152435807,100,1.03837769453059
"24","CS_006","Craugastor_omoaensis",FALSE,"Agalychnis callidryas","Agalychnis callidryas",1,"Amphibians","Agalychnis","LC",2020,NA,NA,NA,NA,NA,NA,"","",12,NA,NA,NA,NA,NA,NA,NA,"",501190.034297922,5.70000242686232,-87.4341939997004,15.1546766697585,6.76109994293896,7.72200992280029,32.2793152435807,100,0.00644053413567936
"25","CS_006","Craugastor_omoaensis",FALSE,"Incilius valliceps","Incilius valliceps",1,"Amphibians","Incilius","LC",2020,NA,NA,NA,NA,NA,NA,"","",60,NA,NA,NA,NA,NA,NA,NA,"",564416.817522547,5.75159994563587,-89.2599272595688,16.6599177640004,6.6715663194379,7.41715941128442,32.2793152435807,100,0.00571905624380004
"26","CS_006","Craugastor_omoaensis",FALSE,"Incilius valliceps","Incilius valliceps",1,"Amphibians","Incilius","LC",2020,NA,NA,NA,NA,NA,NA,"","",60,NA,NA,NA,NA,NA,NA,NA,"",564416.817522547,5.75159994563587,-89.2599272595688,16.6599177640004,6.6715663194379,7.41715941128442,32.2793152435807,100,0.00571905624380004
"27","CS_006","Craugastor_omoaensis",FALSE,"Incilius valliceps","Incilius valliceps",1,"Amphibians","Incilius","LC",2020,NA,NA,NA,NA,NA,NA,"","",60,NA,NA,NA,NA,NA,NA,NA,"",564416.817522547,5.75159994563587,-89.2599272595688,16.6599177640004,6.6715663194379,7.41715941128442,32.2793152435807,100,0.00571905624380004
