"","extinct","species_name","id","order","family","genus","species","habitat_breadth","diet_breadth","body_mass_g","body_size_mm","trophic_level","global_range_size_km2","extinct.1","global_range_size_km2.1","global_range_size_log","range_centroid_lon","range_centroid_lat","cropland_2arcmin","human.footprint.1993.30s.Venter","maximumTemperature","overlap_area_km2","overlap_pct_extinct_range","overlap_pct_extant_range"
"1",0,"Engystomops_pustulosus","Anf3276","Anura","Leptodactylidae","Engystomops","Engystomops_pustulosus","generalist","",NA,48.2,"",NA,0,894865.275413937,5.95175765593209,-74.5451673804661,9.97682878805372,0.020406295408237,8.11252551567029,30.1772719444209,894865.275413937,2772256.06758403,100
"2",0,"Tlalocohyla_loquax","Anf2740","Anura","Hylidae","Tlalocohyla","Tlalocohyla_loquax","generalist","",NA,77,"",NA,0,348675.789986797,5.54242179354702,-89.3129746720612,17.1289905908422,0.0127266149975145,6.36183646206848,24.0369631604607,348675.789986797,1080183.3538165,100
"3",1,"Craugastor_omoaensis","Anf1299","Anura","Craugastoridae","Craugastor","Craugastor_omoaensis","specialist","",NA,30,"",NA,1,32.2793151974673,1.50892431263257,-88.1340404900916,15.4846806139117,0,9.925,29.8337841033936,32.2793151974673,100,100
"4",0,"Lithobates_brownorum","","","","","Lithobates_brownorum","","",NA,NA,"",NA,0,453153.248068225,5.65624509723429,-89.2818138136395,17.1095873135792,0.0169480989758828,6.38852637008661,24.350813875066,453153.248068225,1403850.25100169,100
"5",0,"Bolitoglossa_dofleini","Anf6115","Caudata","Plethodontidae","Bolitoglossa","Bolitoglossa_dofleini","generalist","",NA,232,"",NA,0,3163.57619280512,3.50017829863912,-87.9034849250826,15.5172605702796,0.00163640169407072,5.64418300653595,29.4877634742043,3163.57619280512,9800.62981180217,100
"6",0,"Bolitoglossa_nympha","Anf6157","Caudata","Plethodontidae","Bolitoglossa","Bolitoglossa_nympha","specialist","",NA,70.28,"",NA,0,9138.91602541544,3.96089468675152,-89.0208092823327,15.7820529510719,0.00382062585917262,5.66729866377754,29.5911838408439,9138.91602541544,28311.9885179135,100
"7",0,"Bolitoglossa_diaphora","Anf6112","Caudata","Plethodontidae","Bolitoglossa","Bolitoglossa_diaphora","specialist","",NA,83,"",NA,0,80.8997388455539,1.90794711965779,-88.1824929513013,15.5163578220775,0,6.4,27.8561191558838,80.8997388455539,250.624086152865,100
"8",0,"Gymnopis_multiplicata","Anf6659","Gymnophiona","Dermophiidae","Gymnopis","Gymnopis_multiplicata","generalist","specialist",NA,480,"carnivore",NA,0,182860.260313383,5.26211933367854,-84.772326056498,13.108533436529,0.0068193311458108,7.22529278910078,-0.119962625939943,182860.260313383,566493.616527113,100
"9",0,"Bromeliohyla_melacaena","","","","","Bromeliohyla_melacaena","","",NA,NA,"",NA,0,242.050550405418,2.38390607453222,-88.1846589131061,15.5334300582281,0,6.79322033898305,28.6141405105591,242.050550405418,749.862717282306,100
"10",0,"Bolitoglossa_conanti","Anf6106","Caudata","Plethodontidae","Bolitoglossa","Bolitoglossa_conanti","specialist","",NA,116,"",NA,0,555.471725777495,2.74466195769394,-88.5901488504048,15.2987781479222,6.19047634591836e-05,7.22767857142857,28.0559631983439,555.471725777495,1720.82871518924,100
"11",0,"Hyalinobatrachium_viridissimum","","","","","Hyalinobatrachium_viridissimum","","",NA,NA,"",NA,0,114401.258231491,5.05843080103033,-93.3486920115387,16.6099396767716,0.0413053131672189,7.34916663679702,30.422352089963,114401.258231491,354410.424658387,100
"12",0,"Craugastor_laevissimus","Anf1276","Anura","Craugastoridae","Craugastor","Craugastor_laevissimus","specialist","",NA,61,"",NA,0,24793.3599233912,4.39433538507,-87.3833310956847,14.4680755526783,0.0217389803415184,8.88443672091702,29.408547044658,24793.3599233912,76808.8162227795,100
"13",0,"Craugastor_laticeps","Anf1277","Anura","Craugastoridae","Craugastor","Craugastor_laticeps","specialist","",80,80,"",NA,0,9495.74191759092,3.97752890252517,-90.51362401131,16.8391469561069,0.000918672199098649,4.99387297204004,29.0270636052261,9495.74191759092,29417.4205553752,100
"14",0,"Duellmanohyla_soralia","Anf2277","Anura","Hylidae","Duellmanohyla","Duellmanohyla_soralia","generalist","",NA,37.7,"",NA,0,1194.23338243238,3.07708920685878,-88.4020819746563,15.4630034725829,0.00150106380572245,6.85743801652893,29.3764435768127,1194.23338243238,3699.68623380555,100
"15",0,"Leptodactylus_melanonotus","Anf3405","Anura","Brachycephalidae","Leptodactylus","Leptodactylus_melanonotus","generalist","",NA,58,"",NA,0,833155.684204854,5.9207261616392,-90.4131591342313,15.9304332608067,0.0479139941339042,7.7474818488598,22.550010058959,833155.684204854,2581082.2748828,100
