"","Longitude(x)","Latitude(y)","cropland_2arcmin_mean","built_mean","wc2.1_2.5m_elev_mean","Tree_loss_mean","trees_mean","wildareas-v3-2009-human-footprint_mean","maximum_temperature_mean_mean","Built_mean","Cropland_mean","Forestlandcover_mean","layer_mean","extinct_species_group","binomial_name","Presence","habitat_breadth","diet_breadth","body_mass_g","body_size_mm","trophic_level","global_range_size_km2","extinct"
"12",-109.059563873,26.9786470350001,0.0572400279343128,0.00531454849988222,329.564819335938,0.00802657753229141,0.297336727380753,6.3808422088623,-435.790344238281,0.00167166627943516,0.0683063864707947,0,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"13",-109.059563873,26.9786470350001,0.0572400279343128,0.00531454849988222,329.564819335938,0.00802657753229141,0.297336727380753,6.3808422088623,-435.790344238281,0.00167166627943516,0.0683063864707947,0,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"14",-108.059563873,26.9786470350001,0.0156800784170628,0.0017158763948828,1180.84741210938,0.00669056409969926,0.6225825548172,4.57772254943848,21.625036239624,3.04403602058301e-05,0.0262127928435802,0.01677330955863,1,"Craugastor omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
"15",-108.059563873,26.9786470350001,0.0156800784170628,0.0017158763948828,1180.84741210938,0.00669056409969926,0.6225825548172,4.57772254943848,21.625036239624,3.04403602058301e-05,0.0262127928435802,0.01677330955863,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"16",-108.059563873,26.9786470350001,0.0156800784170628,0.0017158763948828,1180.84741210938,0.00669056409969926,0.6225825548172,4.57772254943848,21.625036239624,3.04403602058301e-05,0.0262127928435802,0.01677330955863,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"17",-101.059563873,26.9786470350001,0.00704735470935702,0.00847417116165161,642.313720703125,0.00238713389262557,0.014544784091413,6.49026107788086,29.6022872924805,0.00835201982408762,0,1.26235590869328e-06,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"18",-100.059563873,26.9786470350001,0.0136832231655717,0.00481216749176383,270.147033691406,0.0101996716111898,0.028833732008934,6.68524694442749,30.211820602417,0.000152201799210161,0,0.00167040387168527,1,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"19",-100.059563873,26.9786470350001,0.0136832231655717,0.00481216749176383,270.147033691406,0.0101996716111898,0.028833732008934,6.68524694442749,30.211820602417,0.000152201799210161,0,0.00167040387168527,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"20",-99.0595638729999,26.9786470350001,0.0125483246520162,0.00576920667663217,149.73030090332,0.00751079712063074,0.112362585961819,5.51654481887817,29.7611274719238,0.000242449663346633,0.00334080774337053,3.04403602058301e-05,NA,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"21",-99.0595638729999,26.9786470350001,0.0125483246520162,0.00576920667663217,149.73030090332,0.00751079712063074,0.112362585961819,5.51654481887817,29.7611274719238,0.000242449663346633,0.00334080774337053,3.04403602058301e-05,NA,"Craugastor omoaensis","Leptodactylus_fragilis",1,"generalist","",NA,43,"",NA,0
"22",-99.0595638729999,26.9786470350001,0.0125483246520162,0.00576920667663217,149.73030090332,0.00751079712063074,0.112362585961819,5.51654481887817,29.7611274719238,0.000242449663346633,0.00334080774337053,3.04403602058301e-05,NA,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"23",-99.0595638729999,26.9786470350001,0.0125483246520162,0.00576920667663217,149.73030090332,0.00751079712063074,0.112362585961819,5.51654481887817,29.7611274719238,0.000242449663346633,0.00334080774337053,3.04403602058301e-05,NA,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"24",-98.0595638729999,26.9786470350001,0.0805459842085838,0.00435301661491394,44.2501831054688,0.00583011424168944,0.172993779182434,4.23725700378418,-25.9036426544189,4.41824568042648e-06,0.0635125562548637,0,NA,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"25",-98.0595638729999,26.9786470350001,0.0805459842085838,0.00435301661491394,44.2501831054688,0.00583011424168944,0.172993779182434,4.23725700378418,-25.9036426544189,4.41824568042648e-06,0.0635125562548637,0,NA,"Craugastor omoaensis","Leptodactylus_fragilis",1,"generalist","",NA,43,"",NA,0
"26",-98.0595638729999,26.9786470350001,0.0805459842085838,0.00435301661491394,44.2501831054688,0.00583011424168944,0.172993779182434,4.23725700378418,-25.9036426544189,4.41824568042648e-06,0.0635125562548637,0,NA,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
