"","case_study","extinct_species_group","extinct","species_name","id","order","family","genus","species","habitat_breadth","diet_breadth","body_mass_g","body_size_mm","trophic_level","global_range_size_km2","extinct.1","global_range_size_km2.1","global_range_size_log","range_centroid_lon","range_centroid_lat","cropland_2arcmin","global_built_3arcmin","global_elevation_worldclim_2.5arcmin","global_treecover_3arcmin","human.footprint.1993.30s.Venter","maximumTemperature","wdpa","overlap_area_km2","overlap_pct_extinct_range","overlap_pct_extant_range"
"1",0,"Craugastor_omoaensis",0,"Engystomops_pustulosus","Anf3276","Anura","Leptodactylidae","Engystomops","Engystomops_pustulosus","generalist","",NA,48.2,"",NA,0,894865.275413937,5.95175765593209,-74.5451673804661,9.97682878805372,0.020406295408237,0.00595669231577505,281.308611483546,0.442560289421967,8.11252551567029,30.1772719444209,9.82454384181469,32.2793152435516,100,0.00360717038982435
"2",0,"Craugastor_omoaensis",0,"Tlalocohyla_loquax","Anf2740","Anura","Hylidae","Tlalocohyla","Tlalocohyla_loquax","generalist","",NA,77,"",NA,0,348675.789986797,5.54242179354702,-89.3129746720612,17.1289905908422,0.0127266149975145,0.00432162975916381,269.460042184204,0.634491289381113,6.36183646206848,24.0369631604607,15.9351994444707,32.2793152435516,100,0.00925768756264205
"3",0,"Craugastor_omoaensis",1,"Craugastor_omoaensis","Anf1299","Anura","Craugastoridae","Craugastor","Craugastor_omoaensis","specialist","",NA,30,"",NA,1,32.2793151974673,1.50892431263257,-88.1340404900916,15.4846806139117,0,0.000213888895814307,753.5,0.889541685581207,9.925,29.8337841033936,367.966444769062,32.2793151974673,100,100
"4",0,"Craugastor_omoaensis",0,"Lithobates_brownorum","","","","","Lithobates_brownorum","","",NA,NA,"",NA,0,453153.248068225,5.65624509723429,-89.2818138136395,17.1095873135792,0.0169480989758828,0.00493239264853522,274.785030697003,0.628220201904894,6.38852637008661,24.350813875066,15.1675342804816,32.2793152435516,100,0.00712326688182356
"5",0,"Craugastor_omoaensis",0,"Bolitoglossa_dofleini","Anf6115","Caudata","Plethodontidae","Bolitoglossa","Bolitoglossa_dofleini","generalist","",NA,232,"",NA,0,3163.57619280512,3.50017829863912,-87.9034849250826,15.5172605702796,0.00163640169407072,0.00230383833170642,792.901315789474,0.836447674984282,5.64418300653595,29.4877634742043,18.7636902976797,32.2793152435516,100,1.02034258940765
"6",0,"Craugastor_omoaensis",0,"Bolitoglossa_nympha","Anf6157","Caudata","Plethodontidae","Bolitoglossa","Bolitoglossa_nympha","specialist","",NA,70.28,"",NA,0,9138.91602541544,3.96089468675152,-89.0208092823327,15.7820529510719,0.00382062585917262,0.0016825152865764,472.737442922374,0.858028417459198,5.66729866377754,29.5911838408439,11.6853377257307,32.2793152435516,100,0.353207263900691
"7",0,"Craugastor_omoaensis",0,"Bolitoglossa_diaphora","Anf6112","Caudata","Plethodontidae","Bolitoglossa","Bolitoglossa_diaphora","specialist","",NA,83,"",NA,0,80.8997388455539,1.90794711965779,-88.1824929513013,15.5163578220775,0,0.000795833337178919,1371.8,0.925911128520966,6.4,27.8561191558838,146.750709496903,32.2793152435516,100,39.9003948642853
"8",0,"Craugastor_omoaensis",0,"Gymnopis_multiplicata","Anf6659","Gymnophiona","Dermophiidae","Gymnopis","Gymnopis_multiplicata","generalist","specialist",NA,480,"carnivore",NA,0,182860.260313383,5.26211933367854,-84.772326056498,13.108533436529,0.0068193311458108,0.00301377138336893,287.186402007757,0.624237531828925,7.22529278910078,-0.119962625939943,20.2997232549311,32.2793152435516,100,0.0176524495744629
"9",0,"Craugastor_omoaensis",0,"Bromeliohyla_melacaena","","","","","Bromeliohyla_melacaena","","",NA,NA,"",NA,0,242.050550405418,2.38390607453222,-88.1846589131061,15.5334300582281,0,0.00117638892243122,1170.58333333333,0.931121878325939,6.79322033898305,28.6141405105591,49.047994535911,32.2793152435516,100,13.3357743617959
"10",0,"Craugastor_omoaensis",0,"Bolitoglossa_conanti","Anf6106","Caudata","Plethodontidae","Bolitoglossa","Bolitoglossa_conanti","specialist","",NA,116,"",NA,0,555.471725777495,2.74466195769394,-88.5901488504048,15.2987781479222,6.19047634591836e-05,0.00124320988490783,1068.92857142857,0.889506788717376,7.22767857142857,28.0559631983439,64.1391849952611,32.2793152435516,100,5.81115360973058
"11",0,"Craugastor_omoaensis",0,"Hyalinobatrachium_viridissimum","","","","","Hyalinobatrachium_viridissimum","","",NA,NA,"",NA,0,114401.258231491,5.05843080103033,-93.3486920115387,16.6099396767716,0.0413053131672189,0.00750976619044947,632.143829482357,0.625498766232323,7.34916663679702,30.422352089963,9.49958950877946,32.2793152435516,100,0.0282158743203982
"12",0,"Craugastor_omoaensis",0,"Craugastor_laevissimus","Anf1276","Anura","Craugastoridae","Craugastor","Craugastor_laevissimus","specialist","",NA,61,"",NA,0,24793.3599233912,4.39433538507,-87.3833310956847,14.4680755526783,0.0217389803415184,0.0120724021278,945.307304785894,0.673171844963226,8.88443672091702,29.408547044658,4.80596699812546,32.2793152435516,100,0.130193387839693
"13",0,"Craugastor_omoaensis",0,"Craugastor_laticeps","Anf1277","Anura","Craugastoridae","Craugastor","Craugastor_laticeps","specialist","",80,80,"",NA,0,9495.74191759092,3.97752890252517,-90.51362401131,16.8391469561069,0.000918672199098649,0.00295993293354792,610.141630901287,0.806644486891965,4.99387297204004,29.0270636052261,27.3144532287494,32.2793152435516,100,0.339934630950258
